#i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR SDensityOFR MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar MetallicityCold MetallicityStar MassBin
0 0.027 578.38 0 0 578.38 0.0282725 134136 0 127789 10.2381 106458 7871.9 126.733 0.0807852 0 0 0 0 0 0 0 0 0 0 10
1 0.0282725 573.805 0 0 573.805 0.0296049 147013 0 266797 11.6782 102699 8084.81 16.7434 0.0860076 0 0 0 0 0 0 0 0 0 0 10
2 0.0296049 569.074 0 0 569.074 0.0310001 161122 0 417961 13.2731 99061.1 8302.88 17.4165 0.0915709 0 0 0 0 0 0 0 0 0 0 10
3 0.0310001 564.185 0 0 564.185 0.0324611 176582 0 582284 15.0391 95542.1 8526.22 18.1141 0.0974976 0 0 0 0 0 0 0 0 0 0 10
4 0.0324611 559.134 0 0 559.134 0.033991 193521 0 760848 16.9946 92137.8 8754.92 18.8368 0.103812 0 0 0 0 0 0 0 0 0 0 10
5 0.033991 553.921 0 0 553.921 0.0355929 212079 0 954814 19.1596 88844.8 8989.07 19.5854 0.110539 0 0 0 0 0 0 0 0 0 0 10
6 0.0355929 548.541 0 0 548.541 0.0372704 232412 0 1.16543e+06 21.5561 85659.5 9228.77 20.3606 0.117706 0 0 0 0 0 0 0 0 0 0 10
7 0.0372704 542.994 0 0 542.994 0.0390269 254687 0 1.39403e+06 24.2088 82578.6 9474.11 21.1632 0.125344 0 0 0 0 0 0 0 0 0 0 10
8 0.0390269 537.277 0 0 537.277 0.0408662 279090 0 1.64204e+06 27.1446 79598.9 9725.19 21.9938 0.133482 0 0 0 0 0 0 0 0 0 0 10
9 0.0408662 531.39 0 0 531.39 0.0427921 305822 0 1.911e+06 30.3933 76717.2 9982.1 22.8532 0.142155 0 0 0 0 0 0 0 0 0 0 10
10 0.0427921 525.33 0 0 525.33 0.0448088 335105 0 2.20255e+06 33.9878 73930.5 10244.9 41.3125 0.0870076 0 0 0 0 0 0 0 0 0 0 10
11 0.0448088 519.098 0 0 519.098 0.0469206 367180 0 2.51843e+06 37.9644 71235.7 10513.8 77.6416 0.0512176 0 0 0 0 0 0 0 0 0 0 10
12 0.0469206 512.692 0 0 512.692 0.0491319 402313 0 2.86051e+06 42.3631 68630.1 10788.7 145.598 0.0302116 0 0 0 0 0 0 0 0 0 0 10
13 0.0491319 506.112 0 0 506.112 0.0514474 440792 0 3.23079e+06 47.2282 66110.9 11069.9 272.417 0.0178589 0 0 0 0 0 0 0 0 0 0 10
14 0.0514474 499.358 0 0 499.358 0.0538721 482934 0 3.63136e+06 52.6083 63675.3 11357.3 471.369 0.0114137 0 0 0 0 0 0 0 0 0 0 10
15 0.0538721 492.432 0 0 492.432 0.056411 529086 0 4.0645e+06 58.557 61320.7 11651 748.338 0.00794923 0 0 0 0 0 0 0 0 0 0 10
16 0.056411 485.334 0 0 485.334 0.0590696 579626 0 4.53257e+06 65.1335 59044.7 11951.3 1185.93 0.00554544 0 0 0 0 0 0 0 0 0 0 10
17 0.0590696 478.065 0 0 478.065 0.0618534 634968 0 5.03812e+06 72.403 56844.7 12258 1875.93 0.00387516 0 0 0 0 0 0 0 0 0 0 10
18 0.0618534 470.628 0 0 470.628 0.0647685 695565 0 5.58381e+06 80.4373 54718.4 12571.4 2961.84 0.00271261 0 0 0 0 0 0 0 0 0 0 10
19 0.0647685 463.024 0 0 463.024 0.0678209 761911 0 6.17249e+06 89.3155 52663.5 12891.4 3668.42 0.00231529 0 0 0 0 0 0 0 0 0 0 10
20 0.0678209 455.258 0 0 455.258 0.0710172 834546 0 6.80713e+06 99.1247 50677.7 13218.2 3870.67 0.00200146 0 0 0 0 0 0 0 0 0 0 10
21 0.0710172 447.332 0 0 447.332 0.0743642 914061 0 7.49089e+06 109.961 48758.8 13551.8 4083.41 0.00173181 0 0 0 0 0 0 0 0 0 0 10
22 0.0743642 439.249 0 0 439.249 0.0778689 1.0011e+06 0 8.22707e+06 121.929 46904.9 13892.2 4307.12 0.00149998 0 0 0 0 0 0 0 0 0 0 10
23 0.0778689 431.016 0 0 431.016 0.0815387 1.09637e+06 0 9.01914e+06 135.146 45113.7 14239.6 4542.32 0.00137397 0 0 0 0 0 0 0 0 0 0 10
24 0.0815387 422.636 0 0 422.636 0.0853815 1.20065e+06 0 9.87074e+06 149.739 43383.4 14594.1 4789.53 0.00141025 0 0 0 0 0 0 0 0 0 0 10
